clean_id,pa_id,ps_name,mpa_party,w1_s1_treat,w1_s2_treat,s1_phone_answer,s1_answered_question,s2_phone_answer,s2_answered_question,age,income_scale,educ_years,pmln_kp_govt,knows_president,mpa_therm,mpa_party_therm,voted,mpa_therm_end,mpa_party_therm_end,voted_end,party_vote_end,accountability_prospects_index_std_end,incumbent_evaluations_index_std_end,participation_index_std_end
e1_hh20_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H1_control,NA,NA,NA,NA,NA,40,3,16,3,2,2,4,1,1,4,1,1,-0.1372990177029126,-0.896798151158259,-0.46253034818942657
e4_hh2_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,FALSE,NA,NA,36,3,0,3,2,1,10,1,10,10,1,6,-1.1219481497110957,1.540210349008057,-0.46253034818942657
e3_hh26_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,1,FALSE,NA,NA,40,3,12,2,4,7,4,0,2,1,1,4,0.3729764752170494,-1.0556256855114234,0.8654701023398661
e1_hh7_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H1_control,NA,NA,NA,NA,NA,50,3,14,3,1,5,1,1,1,1,1,5,0.06442076757834438,-0.9481328661056593,-0.46253034818942657
e2_hh15_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H1_control,NA,NA,NA,NA,NA,30,3,12,2,1,6,5,1,2,1,1,1,-2.562342003877848,-1.0556256855114234,-0.46253034818942657
e1_hh3_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H2_call,NA,1,NA,NA,NA,50,3,12,1,1,6,7,1,2,2,1,5,0.5529163749197352,-0.9742471755691192,-0.46253034818942657
e2_hh16_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H2_call,NA,1,NA,NA,NA,30,3,16,2,1,8,3,1,1,3,1,1,-0.06098836136294851,-0.9781766611005632,-0.46253034818942657
e1_hh21_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H2_call,NA,1,NA,NA,NA,21,3,10,1,2,4,5,1,3,1,1,1,-1.1513859526150687,-0.9703176900376754,-0.46253034818942657
e1_hh26_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,FALSE,NA,NA,49,3,12,3,2,10,3,1,2,3,1,1,-0.9616689197057661,-0.700067850747303,-0.46253034818942657
e3_hh30_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H3_call_qs,NA,1,FALSE,NA,NA,55,2,13,2,1,10,1,1,2,1,1,1,-0.35976693579503677,-0.8628248706319113,0.7342664926379137
e4_hh25_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H1_control,NA,NA,NA,NA,NA,59,1,0,1,1,10,4,1,2,4,1,1,0.8614720825584403,-0.6186893408049989,-0.46253034818942657
e4_hh14_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H1_control,NA,NA,NA,NA,NA,44,3,10,1,3,1,10,1,10,10,1,6,-0.27579836212967107,1.7330111638875692,-0.46253034818942657
e3_hh23_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H1_control,NA,NA,NA,NA,NA,63,2,5,1,2,6,3,1,2,3,1,1,-2.7891547570165254,-0.700067850747303,2.0622669431672063
e1_hh30_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H1_control,NA,NA,NA,NA,NA,46,3,14,1,1,5,9,1,9,9,1,6,0.3555414246850311,1.3735238435920047,-0.46253034818942657
e3_hh9_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H2_call,NA,1,NA,NA,NA,85,3,12,2,1,7,5,1,4,1,1,1,-0.9071381489443732,-0.8850096945639274,-0.46253034818942657
e2_hh27_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H3_call_qs,NA,1,FALSE,NA,NA,34,2,0,1,1,1,3,1,2,3,1,1,1.011974179357153,-0.700067850747303,0.8654701023398661
e4_hh6_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,FALSE,NA,NA,56,3,12,2,3,5,5,1,1,1,1,1,-0.7937317723750347,-0.9481328661056593,-0.46253034818942657
e3_hh5_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H3_call_qs,NA,1,FALSE,NA,NA,50,4,0,1,3,2,10,0,10,10,1,6,-2.562342003877848,1.7330111638875692,0.7342664926379137
e4_hh12_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H1_control,NA,NA,NA,NA,NA,26,3,10,1,2,1,1,1,2,1,1,1,0.18325944230774702,-0.8628248706319113,2.0622669431672063
e2_hh5_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H1_control,NA,NA,NA,NA,NA,35,1,0,2,1,8,2,1,1,2,1,1,-2.0912814470684755,-1.0595551710428672,-0.46253034818942657
e3_hh15_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H1_control,NA,NA,NA,NA,NA,50,3,0,2,3,5,3,1,1,2,1,7,-0.5123882484749651,-0.86675435616335506,-0.46253034818942657
e1_hh12_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H1_control,NA,NA,NA,NA,NA,75,3,10,3,1,6,7,1,9,9,1,6,0.249792965441094,1.3735238435920047,2.0622669431672063
e3_hh2_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H2_call,NA,1,NA,NA,NA,40,3,12,2,1,1,3,1,2,3,1,1,-0.3815468213736082,-0.700067850747303,-0.46253034818942657
e4_hh18_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,1,FALSE,NA,NA,40,4,14,2,1,6,4,1,2,4,1,1,-1.3661959533817913,-0.6186893408049989,0.7342664926379137
e4_hh16_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,1,FALSE,NA,NA,30,3,0,2,3,5,6,1,1,3,1,1,-0.604014739465732,-0.785375846221051,-0.46253034818942657
e1_hh2_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H3_call_qs,NA,0,FALSE,NA,NA,50,3,10,2,1,1,1,1,2,2,1,7,-0.5669190192363577,-0.781446360689607,0.7342664926379137
e3_hh29_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H3_call_qs,NA,1,FALSE,NA,NA,30,3,14,2,3,5,1,0,2,1,1,3,0.22469999758367418,-0.8628248706319113,0.8654701023398661
e1_hh28_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H1_control,NA,NA,NA,NA,NA,30,2,12,2,2,5,4,1,5,4,1,1,0.38063439254245107,-0.5555661692632671,0.7342664926379137
e3_hh27_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H3_call_qs,NA,1,FALSE,NA,NA,52,3,10,2,1,5,1,1,1,1,1,1,0.486382851786388,-0.9481328661056593,-0.46253034818942657
e4_hh24_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H3_call_qs,NA,1,FALSE,NA,NA,35,4,13,2,1,5,1,1,1,3,1,7,-1.0085417731417574,-0.9781766611005632,-0.46253034818942657
e2_hh11_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H1_control,NA,NA,NA,NA,NA,70,2,11,1,4,3,2,0,4,2,1,1,0.713195604925065,-0.6108303697421111,-0.46253034818942657
e3_hh19_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H3_call_qs,NA,1,TRUE,NA,NA,60,1,0,2,3,1,4,1,2,4,1,1,0.45694504888241516,-0.6186893408049989,0.7342664926379137
e4_hh21_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,TRUE,NA,NA,47,3,12,3,2,10,1,1,2,1,1,1,-0.5200461658003666,-0.8628248706319113,-0.46253034818942657
e3_hh7_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,FALSE,NA,NA,25,2,14,1,2,5,5,0,1,1,1,1,0.41007219544642387,-0.9481328661056593,0.8654701023398661
e3_hh3_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H1_control,NA,NA,NA,NA,NA,40,4,14,1,1,5,4,0,1,4,1,1,0.4395099983503967,-0.896798151158259,0.8654701023398661
e3_hh11_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H1_control,NA,NA,NA,NA,NA,60,1,12,1,2,5,3,1,1,3,1,1,1.9344346232785425,-0.9781766611005632,0.7342664926379137
e1_hh24_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H1_control,NA,NA,NA,NA,NA,40,2,14,1,1,5,6,1,1,3,1,1,-0.9714460529123831,-0.9781766611005632,-0.46253034818942657
e1_hh22_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H3_call_qs,NA,0,FALSE,NA,NA,36,3,12,2,1,4,7,1,4,2,1,5,-0.7642939694710619,-0.6108303697421111,-0.46253034818942657
e1_hh23_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H3_call_qs,NA,1,FALSE,NA,NA,77,2,0,2,4,7,6,1,4,3,1,1,2.2920888035185762,-0.5294518597998071,0.7342664926379137
e4_hh9_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H1_control,NA,NA,NA,NA,NA,50,2,12,2,1,1,5,1,2,2,1,7,-1.3291002331524169,-0.781446360689607,0.7342664926379137
e1_hh5_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H3_call_qs,NA,1,FALSE,NA,NA,56,2,10,2,1,1,10,1,10,10,1,6,0.6837578020210922,1.7330111638875692,0.8654701023398661
e4_hh7_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H3_call_qs,NA,1,TRUE,NA,NA,60,1,14,1,2,5,4,1,2,1,1,4,0.6543199991171192,-0.6700240557523991,0.7342664926379137
e3_hh18_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H2_call,NA,0,NA,NA,NA,61,1,0,2,1,1,3,1,2,3,1,1,0.7971641785904306,-0.8928686656268152,-0.46253034818942657
e1_hh13_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H3_call_qs,NA,1,FALSE,NA,NA,40,3,13,2,2,4,6,1,2,3,1,7,-0.5875545014059291,-0.700067850747303,-0.46253034818942657
e4_hh1_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H1_control,NA,NA,NA,NA,NA,30,3,10,1,3,3,3,1,3,3,1,4,0.8985678027878148,-0.8075606701530672,-0.46253034818942657
e1_hh12_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H2_call,NA,1,NA,NA,NA,50,2,10,2,1,4,8,1,2,2,1,7,0.5997892283557265,-0.9742471755691192,2.0622669431672063
e1_hh1_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H3_call_qs,NA,1,FALSE,NA,NA,45,3,12,2,1,4,7,1,3,2,1,1,-1.0085417731417574,-0.8889391800953712,0.7342664926379137
e3_hh20_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H1_control,NA,NA,NA,NA,NA,42,5,10,1,1,6,7,1,2,2,1,5,1.5767804430385082,-0.781446360689607,-0.46253034818942657
e1_hh21_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H1_control,NA,NA,NA,NA,NA,40,3,12,2,1,6,9,1,NA,NA,NA,NA,NA,NA,NA
e1_hh19_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H2_call,NA,1,NA,NA,NA,19,4,12,1,1,5,6,1,1,3,1,7,-1.0554146265777484,-0.9781766611005632,2.0622669431672063
e2_hh1_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H3_call_qs,NA,1,FALSE,NA,NA,57,3,0,2,1,1,2,1,2,2,1,1,0.4275072459784424,-0.781446360689607,-0.46253034818942657
e2_hh7_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H2_call,NA,0,NA,NA,NA,66,2,0,1,1,8,2,1,1,2,1,1,-1.8295985928657619,-1.0595551710428672,0.7342664926379137
e1_hh27_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H2_call,NA,1,NA,NA,NA,60,2,0,2,4,7,8,1,NA,NA,NA,NA,NA,NA,NA
e4_hh23_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H3_call_qs,NA,1,FALSE,NA,NA,26,3,10,2,2,1,4,1,1,4,1,5,-0.9834488052843376,-0.7039973362787469,-0.46253034818942657
e2_hh21_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,FALSE,NA,NA,27,1,14,2,1,8,3,1,1,3,1,5,-1.3956337562857641,-0.785375846221051,-0.46253034818942657
e4_hh23_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H2_call,NA,1,NA,NA,NA,25,3,0,2,1,6,4,0,2,4,1,5,0.8440370320264219,-0.6186893408049989,-0.46253034818942657
e3_hh17_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H1_control,NA,NA,NA,NA,NA,35,3,0,2,3,5,3,0,1,3,1,4,-0.9911067226097389,-0.9781766611005632,0.7342664926379137
e1_hh21_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,1,FALSE,NA,NA,47,2,0,2,3,7,8,1,10,9,1,6,-0.40663978923102795,1.651632653945265,-0.46253034818942657
e3_hh15_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H1_control,NA,NA,NA,NA,NA,55,4,10,1,1,5,4,1,1,4,1,1,1.2016912122664558,-0.7039973362787469,-0.46253034818942657
e4_hh27_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H3_call_qs,NA,1,FALSE,NA,NA,60,2,10,2,1,1,2,1,2,2,1,7,-1.3585380360563897,-0.781446360689607,-0.46253034818942657
e3_hh5_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,FALSE,NA,NA,40,3,10,1,2,1,3,1,2,3,1,1,-0.305236165033644,-0.8928686656268152,-0.46253034818942657
e1_hh9_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,1,FALSE,NA,NA,52,3,12,2,1,6,1,1,2,1,1,5,0.7011928525531107,-1.0556256855114234,-0.46253034818942657
e2_hh2_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H2_call,NA,1,NA,NA,NA,33,1,13,2,1,7,2,1,4,2,1,1,-0.2932334126616895,-0.8036311846216232,0.8654701023398661
e1_hh10_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H1_control,NA,NA,NA,NA,NA,30,2,13,2,1,4,1,1,2,1,1,7,1.5767804430385082,-1.0556256855114234,-0.46253034818942657
e4_hh13_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H3_call_qs,NA,1,FALSE,NA,NA,47,2,10,2,1,1,2,1,2,2,1,1,-1.0554146265777484,-0.781446360689607,-0.46253034818942657
e4_hh22_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H2_call,NA,1,NA,NA,NA,35,2,10,1,2,4,1,1,3,1,1,1,0.6172242788877448,-0.7775168751581633,-0.46253034818942657
e1_hh26_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H1_control,NA,NA,NA,NA,NA,61,3,10,2,1,6,1,1,2,1,1,5,-1.3291002331524169,-1.0556256855114234,-0.46253034818942657
e4_hh24_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H1_control,NA,NA,NA,NA,NA,65,4,0,2,1,8,1,0,1,1,1,5,0.5529163749197352,-0.9481328661056593,-0.46253034818942657
e2_hh8_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H3_call_qs,NA,1,TRUE,NA,NA,30,3,11,1,1,3,3,1,4,3,1,1,0.5997892283557265,-0.7222526746793192,-0.46253034818942657
e2_hh21_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H1_control,NA,NA,NA,NA,NA,25,4,10,1,1,5,3,1,2,3,1,3,1.1057198862291358,-0.700067850747303,-0.46253034818942657
e2_hh29_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H2_call,NA,1,NA,NA,NA,29,3,14,1,1,5,4,0,1,4,1,1,-0.9071381489443732,-0.7039973362787469,-0.46253034818942657
e3_hh16_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,TRUE,NA,NA,48,2,12,1,3,4,3,1,4,3,1,5,-1.1142902323856945,-0.5294518597998071,0.7342664926379137
e3_hh21_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H2_call,NA,0,NA,NA,NA,25,3,14,2,2,4,2,1,3,2,1,1,-0.9616689197057661,-0.8889391800953712,-0.46253034818942657
e2_hh12_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H1_control,NA,NA,NA,NA,NA,60,2,0,3,4,6,5,1,2,2,1,5,0.7971641785904306,-0.781446360689607,-0.46253034818942657
e4_hh20_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H3_call_qs,NA,1,FALSE,NA,NA,62,3,10,1,1,5,3,1,1,3,1,1,0.6172242788877448,-0.785375846221051,0.8654701023398661
e4_hh21_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H1_control,NA,NA,NA,NA,NA,40,1,10,2,1,10,4,1,2,4,1,1,-0.4186425416029825,-0.6186893408049989,0.7342664926379137
e2_hh8_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,1,FALSE,NA,NA,30,2,11,1,1,3,1,1,4,1,1,1,0.936807926426189,-0.6922088796844152,0.7342664926379137
e4_hh1_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H2_call,NA,1,NA,NA,NA,52,2,11,2,1,1,8,1,1,1,1,5,-0.2387026419002968,-1.1409336809851713,-0.46253034818942657
e2_hh12_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,0,FALSE,NA,NA,30,1,10,1,1,1,3,1,2,3,1,1,-1.3116651826203984,-0.700067850747303,0.7342664926379137
e1_hh6_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H3_call_qs,NA,1,FALSE,NA,NA,56,2,8,2,1,5,1,1,1,1,1,1,1.172253409362483,-1.1409336809851713,0.7342664926379137
e1_hh4_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H1_control,NA,NA,NA,NA,NA,40,2,12,2,1,1,2,1,2,2,1,1,-0.1798270360923509,-0.9742471755691192,0.7342664926379137
e1_hh1_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H1_control,NA,NA,NA,NA,NA,58,4,0,1,1,4,5,1,3,1,1,1,1.2016912122664558,-0.9703176900376754,-0.46253034818942657
e2_hh16_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,1,TRUE,NA,NA,34,4,10,3,1,8,10,1,8,10,1,6,1.2562219830278487,1.369594358060561,-0.46253034818942657
e2_hh15_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H3_call_qs,NA,0,FALSE,NA,NA,30,2,10,3,4,8,6,1,1,3,1,1,-0.2583633115976527,-0.9781766611005632,-0.46253034818942657
e3_hh29_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H3_call_qs,NA,0,FALSE,NA,NA,51,2,0,2,4,5,10,1,9,10,1,6,2.2920888035185762,1.6477031684138213,-0.46253034818942657
e1_hh5_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,FALSE,NA,NA,70,3,0,2,1,1,1,1,2,1,1,1,0.713195604925065,-1.0556256855114234,-0.46253034818942657
e1_hh18_ps-1023-ggps-sardar-colony-2,PK-1,PS-1023-GGPS Sardar Colony 2,6,H2_call,NA,1,NA,NA,NA,31,2,12,2,5,3,7,1,3,2,1,5,0.5529163749197352,-0.6961383652158591,-0.46253034818942657
e1_hh4_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H3_call_qs,NA,1,TRUE,NA,NA,40,3,14,2,1,4,7,1,10,9,1,6,1.6901868196078464,1.4588318390657529,-0.46253034818942657
e4_hh30_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H1_control,NA,NA,NA,NA,NA,31,3,8,1,4,1,10,0,1,2,1,5,0.9574434085957603,-0.86675435616335506,-0.46253034818942657
e4_hh5_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H1_control,NA,NA,NA,NA,NA,30,3,12,1,2,1,4,1,2,2,1,7,-0.031550558458975676,-0.781446360689607,-0.46253034818942657
e4_hh28_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H1_control,NA,NA,NA,NA,NA,20,3,12,1,1,5,10,1,9,10,1,6,-0.6508875929017234,1.454902353534309,0.8654701023398661
e4_hh30_ps-1001-ggps-comboo,PK-1,Ps-1001-GGPS Comboo,6,H3_call_qs,NA,1,FALSE,NA,NA,40,1,5,2,1,4,3,1,4,3,1,3,0.09929086864238121,-0.5294518597998071,-0.46253034818942657
e1_hh28_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H1_control,NA,NA,NA,NA,NA,50,3,15,2,1,4,7,1,2,2,1,7,-0.49060836289639365,-0.9742471755691192,0.7342664926379137
e4_hh3_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H3_call_qs,NA,0,FALSE,NA,NA,60,1,14,1,3,1,2,1,2,2,1,1,0.22469999758367418,-0.9742471755691192,0.7342664926379137
e1_hh3_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H1_control,NA,NA,NA,NA,NA,53,1,0,2,1,6,1,1,2,1,1,1,0.486382851786388,-1.0556256855114234,-0.46253034818942657
e4_hh2_ps-1065-gms-bashir-abad,PK-1,PS-1065-GMS Bashir Abad,6,H2_call,NA,1,NA,NA,NA,25,2,14,2,1,5,8,1,1,2,1,7,-0.1798270360923509,-1.0595551710428672,-0.46253034818942657
e4_hh26_ps-1043-gps-zaryab-collony-no-3,PK-1,PS-1043-GPS Zaryab Collony No 3,6,H2_call,NA,1,NA,NA,NA,29,4,10,1,2,5,1,1,5,1,1,1,1.172253409362483,-0.6069008842106673,-0.46253034818942657
e1_hh10_ps-1014-gps-gharhi-baloch,PK-1,PS-1014-GPS Gharhi Baloch,6,H2_call,NA,1,NA,NA,NA,35,4,13,1,2,2,3,1,2,3,1,3,0.7971641785904306,-0.700067850747303,-0.46253034818942657
e1_hh17_ps-1031-gps-faisal-colony,PK-1,PS-1031-GPS Faisal Colony,6,H3_call_qs,NA,0,FALSE,NA,NA,40,2,14,2,1,5,9,1,2,1,1,5,1.7741553932732124,-0.8628248706319113,0.7342664926379137
